Record Date,FEI Number,Legal Name,Record Type,Publish Date,Download,Record ID
2020-10-22,3013316698,MedisourceRx,483,2025-03-11,https://www.fda.gov/media/185741/download,286100
2024-06-07,3002617771,AstraZeneca Pharmaceuticals LP,483,2025-03-06,https://www.fda.gov/media/185506/download,286102
2022-11-18,3002806677,"Chunghwa Chemical Synthesis & Biotech Co., Ltd",483,2025-03-06,https://www.fda.gov/media/185544/download,286114
2024-11-20,3003885745,Zhejiang Huahai Pharmaceutical,483,2025-03-06,https://www.fda.gov/media/185507/download,286103
2018-02-06,3004886113,"Hanlim Pharm Co., Ltd.",483,2025-03-06,https://www.fda.gov/media/185518/download,286105
2024-07-26,3005124189,Indoco Remedies Limited,483,2025-03-06,https://www.fda.gov/media/185524/download,286111
2022-08-26,3005987757,Vetter Pharma Fertigung GmbH & Co. KG (Ravensburg Mooswiesen),483,2025-03-06,https://www.fda.gov/media/185520/download,286107
2023-11-06,3008470621,Daizo Corporation,483,2025-03-06,https://www.fda.gov/media/185522/download,286109
2022-11-25,3008538640,"Fuji Yakuhin Co., Ltd.",483,2025-03-06,https://www.fda.gov/media/185576/download,286116
2025-02-14,3008565058,Glenmark Pharmaceuticals Limited,483,2025-03-06,https://www.fda.gov/media/185699/download,286118
2025-02-17,3008763768,Piramal Pharma Limited,483,2025-03-06,https://www.fda.gov/media/185578/download,286117
2022-09-02,3008927877,"Meiji Seika Pharma Co., Ltd. - Gifu Plant",483,2025-03-06,https://www.fda.gov/media/185525/download,286112
2023-09-01,3010166685,"Oishi Koseido Co., Ltd.",483,2025-03-06,https://www.fda.gov/media/185549/download,286115
2023-05-09,3010606982,Wuxi Biologics Co Ltd,483,2025-03-06,https://www.fda.gov/media/185505/download,286101
2023-08-15,3013501887,AMMAN PHARMACEUTICAL INDUSTRIES,483,2025-03-06,https://www.fda.gov/media/185523/download,286110
2023-09-07,3015685285,"Zhejiang Peptites Biotech Co.,Ltd.",483,2025-03-06,https://www.fda.gov/media/185519/download,286106
2023-09-22,3016688535,Rovi Pharma Industrial Services S.A.,483,2025-03-06,https://www.fda.gov/media/185521/download,286108
2025-02-21,3015156709,"BPI Labs, LLC",483,2025-02-28,https://www.fda.gov/media/185637/download,286121
2025-01-24,3015826782,Carolina Infusion,483,2025-02-28,https://www.fda.gov/media/185650/download,286120
2019-08-29,3012039582,"Reliant Compounded Solutions Monroe, LLC",483,2025-02-27,https://www.fda.gov/media/185620/download,286122
2023-03-29,3004579906,Japan Food Research Laboratories,483,2025-02-24,https://www.fda.gov/media/185573/download,286123
2019-04-04,3004969894,Triangle Compounding Pharmacy Inc,483,2025-02-19,https://www.fda.gov/media/185444/download,286125
2019-03-22,3014539004,CMC Enterprise Pharmacy,483,2025-02-19,https://www.fda.gov/media/185494/download,286124
2024-11-15,3008563008,Exela Pharma Sciences LLC,483,2025-02-14,https://www.fda.gov/media/185443/download,286126
2024-09-30,3010943533,"Pine Pharmaceuticals, LLC",483,2025-02-12,https://www.fda.gov/media/185430/download,286127
2024-11-08,3010348724,F.H. Investments Inc.,483,2025-02-07,https://www.fda.gov/media/185398/download,286132
2024-09-23,3011152407,AnazaoHealth Corporation,483,2025-02-07,https://www.fda.gov/media/185396/download,286131
2024-12-18,3013236711,Overton Brooks VA Medical Center,483,2025-02-07,https://www.fda.gov/media/185236/download,286133
2024-12-20,3013736415,"SCA Pharmaceuticals, LLC",483,2025-01-21,https://www.fda.gov/media/185240/download,286135
2024-10-28,3012053582,"QuVa Pharma, Inc.",483,2025-01-16,https://www.fda.gov/media/185187/download,286136
2024-11-12,1783599,"Taylor Farms Colorado, Inc.",483,2025-01-14,https://www.fda.gov/media/185084/download,286138
2022-03-04,3010972581,Zhejiang Tianyu Pharmaceutical Co Ltd,483,2025-01-14,https://www.fda.gov/media/185102/download,286137
2016-05-13,3004117486,"Hubei Gedian Humanwell Pharmaceutical Co., Ltd.",483,2025-01-10,https://www.fda.gov/media/184979/download,286139
2019-06-28,3004117486,"Hubei Gedian Humanwell Pharmaceutical Co., Ltd.",483,2025-01-10,https://www.fda.gov/media/184987/download,286140
2024-06-26,3010453141,Mylan Laboratories Limited,483,2025-01-03,https://www.fda.gov/media/184861/download,286141
2024-09-27,3011967886,"RC Outsourcing, LLC",483,2024-12-12,https://www.fda.gov/media/184381/download,286143
2023-10-10,3006210232,Fresenius Kabi Oncology Limited,483,2024-12-05,https://www.fda.gov/media/184171/download,286145
2023-05-26,3003065803,Patheon Italia S.p.A.,483,2024-11-27,https://www.fda.gov/media/183884/download,286146
2023-05-05,3006767695,Apicore Pharmaceuticals Private Ltd,483,2024-11-26,https://www.fda.gov/media/183861/download,286147
2023-03-14,3011684330,Regeneron Ireland Designated Activity Company,483,2024-11-22,https://www.fda.gov/media/183808/download,286148
2024-10-25,3014549846,OSRX Inc.,483,2024-11-21,https://www.fda.gov/media/183626/download,286149
2023-10-27,3002809620,Astellas Pharma Inc.,483,2024-11-15,https://www.fda.gov/media/183579/download,286151
2023-11-06,3004664162,Takeda Pharmaceutical Company Limited,483,2024-11-15,https://www.fda.gov/media/183580/download,286150
2024-07-02,3010680515,US Specialty Formulations LLC,483,2024-11-12,https://www.fda.gov/media/183426/download,286152
2024-03-01,3014483112,IntegraDose Compounding Services LLC,483,2024-11-12,https://www.fda.gov/media/183428/download,286153
2024-10-04,3010810839,Avenue Pharmacy Inc dba Pathway Pharmacy,483,2024-11-06,https://www.fda.gov/media/183393/download,286154
2024-09-20,3006418686,Aarti Drugs Limited,483,2024-11-01,https://www.fda.gov/media/183269/download,286156
2024-09-25,3011158388,Nephron Sterile Compounding Center LLC,483,2024-10-31,https://www.fda.gov/media/183238/download,286158
2023-02-28,3001623073,Jubilant HollisterStier General Partnership,483,2024-10-29,https://www.fda.gov/media/183187/download,286159
2024-03-25,3002807751,Novo Nordisk A/S,483,2024-10-29,https://www.fda.gov/media/183181/download,286160
2024-08-28,3011887629,Empower Pharmacy,483,2024-10-11,https://www.fda.gov/media/182593/download,286161
2023-10-20,3010683345,"Aqualex Co., Ltd.",483,2024-10-08,https://www.fda.gov/media/182556/download,286163
2024-09-27,3004086884,Apitoria Pharma Private Limited,483,2024-10-07,https://www.fda.gov/media/182545/download,286164
2024-03-19,3011286349,"Qualgen, LLC",483,2024-10-07,https://www.fda.gov/media/182460/download,286165
2024-07-03,3011976853,BSO LLC,483,2024-10-02,https://www.fda.gov/media/182398/download,286167
2024-06-28,3012104093,Fagron Compounding Services,483,2024-09-26,https://www.fda.gov/media/182250/download,286169
2023-09-15,3010031951,"Samsung Bioepis Co., Ltd.",483,2024-09-25,https://www.fda.gov/media/182190/download,286170
2023-03-30,3013611763,TERUMO YAMAGUCHI CORPORATION,483,2024-09-25,https://www.fda.gov/media/182191/download,286171
2019-11-24,3004664162,Takeda Pharmaceutical Company Limited,483,2024-09-24,https://www.fda.gov/media/182152/download,286172
2023-10-27,3004967045,Eisai Company Ltd.,483,2024-09-24,https://www.fda.gov/media/182148/download,286173
2023-10-27,3010970108,"FirstCham Co., Ltd.",483,2024-09-23,https://www.fda.gov/media/182102/download,286174
2023-03-10,3012163998,Hugel Inc.,483,2024-09-23,https://www.fda.gov/media/182103/download,286175
2023-11-10,3012668529,"C&T Dream Co., Ltd.",483,2024-09-20,https://www.fda.gov/media/182057/download,286176
2024-09-06,3004097901,Granules India Limited,483,2024-09-17,https://www.fda.gov/media/181914/download,286180
2024-08-02,3009864167,Gland Pharma Limited,483,2024-09-17,https://www.fda.gov/media/181913/download,286179
2024-09-08,1972829,Park Avenue Compounding,483,2024-09-16,https://www.fda.gov/media/181823/download,286182
2024-04-12,3003282619,"Taenaka Kogyo Co., Ltd.",483,2024-09-06,https://www.fda.gov/media/181559/download,286183
2024-07-26,3003981475,Biocon Biologics Limited,483,2024-09-06,https://www.fda.gov/media/181554/download,286184
2024-03-22,3002807834,"Second Tokushima Factory, Otsuka Pharmaceutical Co., Ltd.",483,2024-08-30,https://www.fda.gov/media/181425/download,286185
2024-08-02,3004094136,Global Calcium Pvt. Limited,483,2024-08-28,https://www.fda.gov/media/181387/download,286186
2024-07-31,3021769057,"iRhythm Technologies, Inc.",483,2024-08-23,https://www.fda.gov/media/181269/download,286187
2024-07-31,3007208829,iRhythm Technologies Inc,483,2024-08-16,https://www.fda.gov/media/180888/download,286188
2024-07-26,3010166491,"Nubratori, Inc",483,2024-08-08,https://www.fda.gov/media/180707/download,286190
2024-05-23,3012384835,SKNV,483,2024-08-08,https://www.fda.gov/media/180708/download,286189
2024-04-03,3013024146,"Imprimis NJOF, LLC",483,2024-08-06,https://www.fda.gov/media/180618/download,286192
2024-05-02,1924965,Nestle Purina Pet Care Co.,483,2024-07-31,https://www.fda.gov/media/180461/download,286193
2024-06-21,3010589333,Right Value Drug Stores LLC,483,2024-07-26,https://www.fda.gov/media/180071/download,286194
2024-02-13,3012124170,Ranier's Compounding Laboratory,483,2024-07-26,https://www.fda.gov/media/180074/download,286195
2024-06-25,3022897129,Hikma Injectables USA Inc,483,2024-07-26,https://www.fda.gov/media/180065/download,286196
2024-01-19,3014129013,Brassica Pharma Private Ltd,483,2024-07-25,https://www.fda.gov/media/180327/download,286197
2023-03-28,3002930340,Lonza AG,483,2024-07-15,https://www.fda.gov/media/180072/download,286200
2021-08-24,3010479596,"Samsung Biologics Co., Ltd.",483,2024-07-15,https://www.fda.gov/media/182192/download,286199
2022-06-09,3010479596,"Samsung Biologics Co., Ltd.",483,2024-07-15,https://www.fda.gov/media/180086/download,286201
2024-04-05,3013438582,"Denver Solutions, LLC DBA Leiters Health",483,2024-07-12,https://www.fda.gov/media/180028/download,286202
2017-07-25,3010479596,"Samsung Biologics Co., Ltd.",483,2024-07-11,https://www.fda.gov/media/180024/download,286203
2024-06-12,2220525,Hikma Pharmaceuticals USA Inc.,483,2024-07-09,https://www.fda.gov/media/179799/download,286204
2024-05-10,3011430551,"Brookfield Medical/Surgical Supplies, Inc.",483,2024-06-28,https://www.fda.gov/media/179540/download,286205
2024-06-21,3004081307,Cipla Limited,483,2024-06-26,https://www.fda.gov/media/179606/download,286206
2024-06-12,3005029956,Torrent Pharmaceuticals Limited,483,2024-06-26,https://www.fda.gov/media/179610/download,286207
2024-06-07,3002949085,Dr. Reddy's Laboratories Limited CTO VI,483,2024-06-20,https://www.fda.gov/media/179455/download,286208
2024-04-02,3006942691,Chugai Pharma Manufacturing Co. Ltd.,483,2024-06-14,https://www.fda.gov/media/179391/download,286209
2024-03-13,3009339218,Jubilant DraxImage Radiopharmacies Inc. dba Jubilant Radiopharma,483,2024-06-13,https://www.fda.gov/media/178630/download,286210
2024-05-08,3002806702,"Cipla, Ltd.",483,2024-06-07,https://www.fda.gov/media/179231/download,286211
2024-01-16,3007373503,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. (Huanghe Road Site)",483,2024-06-04,https://www.fda.gov/media/179134/download,286212
2024-04-12,3004034796,"Delta Pharma, Inc.",483,2024-05-21,https://www.fda.gov/media/178599/download,286213
2024-05-03,3009883410,EUGIA Pharma Specialities Limited,483,2024-05-13,https://www.fda.gov/media/178585/download,286214
2024-04-23,3013712903,Zydus Lifesciences Limited,483,2024-04-29,https://www.fda.gov/media/178169/download,286215
2023-12-15,3004561553,Sun Pharmaceutical Industries Limited,483,2024-04-17,https://www.fda.gov/media/177871/download,286216
2024-03-27,3007621329,Zydus Lifesciences Limited,483,2024-04-12,https://www.fda.gov/media/177746/download,286218
2024-04-04,3002806710,Cipla Limited,483,2024-04-10,https://www.fda.gov/media/177653/download,286219
2024-03-27,3006370533,Alkem Laboratories Limited,483,2024-04-09,https://www.fda.gov/media/177580/download,286220
2024-02-02,3006895982,Jubilant Generics Limited,483,2024-04-05,https://www.fda.gov/media/177529/download,286221
2023-11-03,3001581899,Contract Pharmaceuticals Limited Canada,483,2024-04-03,https://www.fda.gov/media/177488/download,286222
2023-11-15,3005949964,"Catalent Indiana, LLC",483,2024-03-22,https://www.fda.gov/media/177229/download,286225
2021-06-07,3012937475,"Front Door Pharmacy, LLC dba Pure Pharmacy (Pure Pharmaceuticals)",483,2024-03-22,https://www.fda.gov/media/177225/download,286223
2024-02-29,3011905047,Eugia SEZ Private Limited,483,2024-03-15,https://www.fda.gov/media/177078/download,286228
2024-02-02,3008461619,Eugia Pharma Specialities Limited,483,2024-02-13,https://www.fda.gov/media/176315/download,286230
2023-11-17,3003434972,"Wedgewood Connect, LLC",483,2024-02-12,https://www.fda.gov/media/176195/download,286232
2023-09-08,3011139911,"Sichuan Deebio Pharmaceutical Co., Ltd.",483,2024-02-08,https://www.fda.gov/media/176079/download,286233
2023-02-10,3000209996,"AGC Biologics, Inc.",483,2024-01-31,https://www.fda.gov/media/175834/download,286234
2024-01-19,3013702557,Alvotech HF,483,2024-01-31,https://www.fda.gov/media/175832/download,286235
2023-01-27,3004610460,Baxter Pharmaceuticals India Pvt Ltd,483,2024-01-30,https://www.fda.gov/media/175813/download,286237
2023-09-22,3005698544,"Precision Equine, LLC",483,2024-01-25,https://www.fda.gov/media/175706/download,286240
2023-11-09,3011319445,Hybrid Pharma LLC,483,2024-01-25,https://www.fda.gov/media/175704/download,286239
2015-07-11,1011574,"Greer Laboratories, Inc.",483,2024-01-17,https://www.fda.gov/media/87837/download,286567
2015-07-23,1019003,Baxter Healthcare Corporation,483,2024-01-17,https://www.fda.gov/media/78340/download,286750
2017-12-14,1019003,Baxter Healthcare Corporation,483,2024-01-17,https://www.fda.gov/media/109986/download,286757
2015-07-17,1019788,Blue Bell Creameries Inc L.P,483,2024-01-17,https://www.fda.gov/media/91865/download,287272
2015-07-17,1019788,Blue Bell Creameries Inc L.P,483,2024-01-17,https://www.fda.gov/media/92107/download,287273
2015-07-10,1021343,"Hospira, Inc.",483,2024-01-17,https://www.fda.gov/media/85847/download,286558
2015-07-11,1021343,"Hospira, Inc.",483,2024-01-17,https://www.fda.gov/media/82036/download,286562
2015-07-11,1021343,"Hospira, Inc.",483,2024-01-17,https://www.fda.gov/media/82060/download,286566
2015-07-11,1028739,"Delta Air Lines, Inc.",483,2024-01-17,https://www.fda.gov/media/80695/download,287015
2015-07-11,1031630,Thermo Pac LLC,483,2024-01-17,https://www.fda.gov/media/82026/download,287016
2015-07-11,1047582,"NHS U.S., LLC",483,2024-01-17,https://www.fda.gov/media/70677/download,287044
2015-07-11,1073003,The American National Red Cross,483,2024-01-17,https://www.fda.gov/media/78747/download,286898
2018-07-02,1110315,Mylan Pharmaceuticals Inc,483,2024-01-17,https://www.fda.gov/media/114553/download,286261
2015-07-24,1120913,Johns Hopkins University School of Medicine IRB,483,2024-01-17,https://www.fda.gov/media/70726/download,286871
2015-07-11,1121308,Integra LifeSciences Corporation,483,2024-01-17,https://www.fda.gov/media/81946/download,286659
2015-07-11,1173010,American Red Cross Blood Services Virginia Region,483,2024-01-17,https://www.fda.gov/media/82810/download,286267
2015-07-11,1173011,American Natl. Red Cross-Greater Chesapeake & Potomac Region,483,2024-01-17,https://www.fda.gov/media/79351/download,286860
2018-09-27,1218996,"Magellan Diagnostics, Inc.",483,2024-01-17,https://www.fda.gov/media/106203/download,286858
2015-10-29,1221426,"Boston Analytical, Inc.",483,2024-01-17,https://www.fda.gov/media/86652/download,286689
2015-07-11,1273014,American Red Cross Blood Services,483,2024-01-17,https://www.fda.gov/media/79383/download,287103
2015-07-11,1273014,American Red Cross Blood Services,483,2024-01-17,https://www.fda.gov/media/82832/download,287099
2016-10-25,1371719,Rochester General Hospital,483,2024-01-17,https://www.fda.gov/media/100768/download,286633
2015-07-11,1419498,"Rising Pharma Holdings, Inc",483,2024-01-17,https://www.fda.gov/media/82460/download,286970
2015-07-10,1473043,American Red Cross Blood Services Heart of America Region,483,2024-01-17,https://www.fda.gov/media/79371/download,286965
2015-07-11,1473043,American Red Cross Blood Services Heart of America Region,483,2024-01-17,https://www.fda.gov/media/82874/download,286975
2018-05-04,1480280,Nutripack LLC,483,2024-01-17,https://www.fda.gov/media/103072/download,287001
2018-03-02,1525965,Philips Medical Systems (Cleveland) Inc,483,2024-01-17,https://www.fda.gov/media/111401/download,286555
2015-07-11,1573019,The American National Red Cross,483,2024-01-17,https://www.fda.gov/media/82934/download,286529
2015-07-10,1628454,Otsuka ICU Medical LLC,483,2024-01-17,https://www.fda.gov/media/85924/download,286295
2015-07-10,1673040,American National Red Cross Blood Services SW Region,483,2024-01-17,https://www.fda.gov/media/82925/download,286508
2015-07-17,1682009,"Blue Bell Creameries, L.P.",483,2024-01-17,https://www.fda.gov/media/92059/download,286317
2015-07-23,1682009,"Blue Bell Creameries, L.P.",483,2024-01-17,https://www.fda.gov/media/92071/download,286329
2015-07-10,1713910,"Edwards Lifesciences, LLC",483,2024-01-17,https://www.fda.gov/media/88453/download,286282
2015-07-17,1717759,Sandoz Incorporated,483,2024-01-17,https://www.fda.gov/media/81871/download,287122
2015-07-10,1810189,Pharmacia & Upjohn Company LLC,483,2024-01-17,https://www.fda.gov/media/88106/download,286781
2016-05-06,1811396,"Catalent Pharma Solutions, LLC",483,2024-01-17,https://www.fda.gov/media/97294/download,287056
2015-07-10,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/78964/download,286778
2015-07-10,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/78970/download,286777
2015-07-10,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/78978/download,286782
2015-07-10,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/78999/download,286783
2015-07-11,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/78987/download,286800
2015-07-23,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/79088/download,286818
2015-07-11,1815692,Abbott Laboratories,483,2024-01-17,https://www.fda.gov/media/79495/download,286810
2015-07-11,1818910,"DePuy Orthopaedics, Inc.",483,2024-01-17,https://www.fda.gov/media/80718/download,286942
2015-07-11,1818910,"DePuy Orthopaedics, Inc.",483,2024-01-17,https://www.fda.gov/media/80738/download,286248
2015-07-23,1818977,"ENDO USA, Inc.",483,2024-01-17,https://www.fda.gov/media/89554/download,286817
2015-07-23,1818977,"ENDO USA, Inc.",483,2024-01-17,https://www.fda.gov/media/89567/download,286814
2015-07-11,1819470,Eli Lilly & Company,483,2024-01-17,https://www.fda.gov/media/70798/download,286939
2015-07-10,1824206,Hill-Rom Inc,483,2024-01-17,https://www.fda.gov/media/85045/download,286932
2017-01-17,1825034,"Biomet, Inc.",483,2024-01-17,https://www.fda.gov/media/102598/download,286953
2018-05-29,1825034,"Biomet, Inc.",483,2024-01-17,https://www.fda.gov/media/113901/download,286957
2018-05-29,1825034,"Biomet, Inc.",483,2024-01-17,https://www.fda.gov/media/113911/download,286959
2015-07-11,1828100,Terumo Cardiovascular Systems Corporation,483,2024-01-17,https://www.fda.gov/media/80689/download,286806
2015-07-11,1828100,Terumo Cardiovascular Systems Corporation,483,2024-01-17,https://www.fda.gov/media/80696/download,286807
2015-07-11,1828100,Terumo Cardiovascular Systems Corporation,483,2024-01-17,https://www.fda.gov/media/80706/download,286943
2015-07-11,1828100,Terumo Cardiovascular Systems Corporation,483,2024-01-17,https://www.fda.gov/media/116586/download,286813
2015-07-11,1831750,Stryker Medical Division of Stryker Corporation,483,2024-01-17,https://www.fda.gov/media/77363/download,286798
2015-07-11,1831750,Stryker Medical Division of Stryker Corporation,483,2024-01-17,https://www.fda.gov/media/77389/download,286790
2015-07-11,1832620,"Fresh Pak, Inc.",483,2024-01-17,https://www.fda.gov/media/77912/download,286801
2015-07-11,1873031,American Red Cross Blood Svs. Indiana-Ohio Region,483,2024-01-17,https://www.fda.gov/media/82885/download,286937
2015-07-10,1873033,American Red Cross Blood Services Great Lakes Region,483,2024-01-17,https://www.fda.gov/media/79357/download,286779
2015-07-11,1873033,American Red Cross Blood Services Great Lakes Region,483,2024-01-17,https://www.fda.gov/media/82862/download,286797
2015-07-10,1873044,The American National Red Cross,483,2024-01-17,https://www.fda.gov/media/78752/download,286787
2015-07-11,1873044,The American National Red Cross,483,2024-01-17,https://www.fda.gov/media/82947/download,286803
2015-07-28,1873886,Emergent Biodefense Operations Lansing LLC,483,2024-01-17,https://www.fda.gov/media/70841/download,286821
2015-07-23,1876582,King Pharmaceuticals LLC,483,2024-01-17,https://www.fda.gov/media/89544/download,286811
2015-07-10,1911445,Haleon US Inc.,483,2024-01-17,https://www.fda.gov/media/85899/download,286709
2015-07-11,1911445,Haleon US Inc.,483,2024-01-17,https://www.fda.gov/media/82522/download,286711
2015-07-11,1911445,Haleon US Inc.,483,2024-01-17,https://www.fda.gov/media/82552/download,286710
2015-07-10,1930931,Rose Acres Farm,483,2024-01-17,https://www.fda.gov/media/83436/download,286723
2015-07-28,1931484,"Grato Holdings, Inc.",483,2024-01-17,https://www.fda.gov/media/69958/download,286928
2015-07-11,1940465,"Consolidated Chemical, Inc",483,2024-01-17,https://www.fda.gov/media/77669/download,286728
2015-07-11,1940465,"Consolidated Chemical, Inc",483,2024-01-17,https://www.fda.gov/media/77681/download,286725
2015-07-11,1940465,"Consolidated Chemical, Inc",483,2024-01-17,https://www.fda.gov/media/77715/download,286726
2015-07-23,1940465,"Consolidated Chemical, Inc",483,2024-01-17,https://www.fda.gov/media/78538/download,286731
2015-07-10,1950222,"Meridian Medical Technologies, LLC a Subsidiary of Kindeva Drug Delivery, L.P.",483,2024-01-17,https://www.fda.gov/media/87540/download,286724
2015-07-24,1950222,"Meridian Medical Technologies, LLC a Subsidiary of Kindeva Drug Delivery, L.P.",483,2024-01-17,https://www.fda.gov/media/87535/download,286736
2017-10-13,1950222,"Meridian Medical Technologies, LLC a Subsidiary of Kindeva Drug Delivery, L.P.",483,2024-01-17,https://www.fda.gov/media/108062/download,286742
2015-07-23,1972829,Park Avenue Compounding,483,2024-01-17,https://www.fda.gov/media/89530/download,286733
2018-10-24,1972829,Park Avenue Compounding,483,2024-01-17,https://www.fda.gov/media/109511/download,286744
2015-07-10,2017865,Abbott Medical,483,2024-01-17,https://www.fda.gov/media/84896/download,287136
2017-04-12,2017865,Abbott Medical,483,2024-01-17,https://www.fda.gov/media/104436/download,287212
2015-07-10,2027158,"Teva Parenteral Medicines, Inc.",483,2024-01-17,https://www.fda.gov/media/77354/download,287141
2015-07-23,2027158,"Teva Parenteral Medicines, Inc.",483,2024-01-17,https://www.fda.gov/media/77048/download,287179
2015-07-11,2072994,American National Red Cross,483,2024-01-17,https://www.fda.gov/media/82987/download,287161
2015-07-11,2111173,"Scientific Protein Laboratories, LLC",483,2024-01-17,https://www.fda.gov/media/78981/download,286244
2015-07-11,2111173,"Scientific Protein Laboratories, LLC",483,2024-01-17,https://www.fda.gov/media/78991/download,286245
2015-07-11,2111173,"Scientific Protein Laboratories, LLC",483,2024-01-17,https://www.fda.gov/media/79000/download,286249
2015-07-24,2117605,Plainview Milk Products Cooperative,483,2024-01-17,https://www.fda.gov/media/77184/download,286772
2015-07-24,2117605,Plainview Milk Products Cooperative,483,2024-01-17,https://www.fda.gov/media/116731/download,286773
2015-07-11,2124215,Boston Scientific Corporation,483,2024-01-17,https://www.fda.gov/media/70646/download,286769
2015-07-11,2124215,Boston Scientific Corporation,483,2024-01-17,https://www.fda.gov/media/70699/download,286765
2015-07-11,2173028,American National Red Cross (The),483,2024-01-17,https://www.fda.gov/media/82895/download,286242
2018-09-27,2243072,Becton Dickinson & Company,483,2024-01-17,https://www.fda.gov/media/106817/download,286684
2015-07-28,2243092,Everest Life Sciences LLC,483,2024-01-17,https://www.fda.gov/media/88793/download,286667
2015-07-28,2243092,Everest Life Sciences LLC,483,2024-01-17,https://www.fda.gov/media/89430/download,287275
2015-07-11,2246848,Akorn Operating Company LLC,483,2024-01-17,https://www.fda.gov/media/82463/download,286660
2015-07-24,2410662,Wyeth Pharmaceutical Division of Wyeth Holdings LLC,483,2024-01-17,https://www.fda.gov/media/70960/download,286614
2015-07-11,2411192,"Professional Disposables International, Inc.",483,2024-01-17,https://www.fda.gov/media/82165/download,286606
2015-07-11,2411192,"Professional Disposables International, Inc.",483,2024-01-17,https://www.fda.gov/media/82170/download,286604
2015-07-11,2411192,"Professional Disposables International, Inc.",483,2024-01-17,https://www.fda.gov/media/82176/download,286605
2015-07-11,2411192,"Professional Disposables International, Inc.",483,2024-01-17,https://www.fda.gov/media/82185/download,286597
2015-07-11,2411192,"Professional Disposables International, Inc.",483,2024-01-17,https://www.fda.gov/media/82298/download,286603
2015-07-11,2411192,"Professional Disposables International, Inc.",483,2024-01-17,https://www.fda.gov/media/82307/download,286594
2015-07-24,2427372,Trans-Packers Services Corporation,483,2024-01-17,https://www.fda.gov/media/77397/download,286619
2018-08-22,2431293,FUJIFILM Healthcare Americas Corporation,483,2024-01-17,https://www.fda.gov/media/93202/download,286683
2015-07-24,2431898,"Time-Cap Laboratories, Inc.",483,2024-01-17,https://www.fda.gov/media/70875/download,286618
2015-07-10,2510184,Kenvue Brands LLC,483,2024-01-17,https://www.fda.gov/media/79258/download,286426
2015-07-10,2510184,Kenvue Brands LLC,483,2024-01-17,https://www.fda.gov/media/79433/download,286457
2015-07-10,2510184,Kenvue Brands LLC,483,2024-01-17,https://www.fda.gov/media/80115/download,286430
2015-07-11,2510184,Kenvue Brands LLC,483,2024-01-17,https://www.fda.gov/media/78916/download,286465
2015-07-23,2510184,Kenvue Brands LLC,483,2024-01-17,https://www.fda.gov/media/78665/download,286475
2015-07-23,2510184,Kenvue Brands LLC,483,2024-01-17,https://www.fda.gov/media/79239/download,286472
2015-07-24,2510184,Kenvue Brands LLC,483,2024-01-17,https://www.fda.gov/media/79448/download,286477
2015-07-10,2518760,Sanofi Pasteur Inc.,483,2024-01-17,https://www.fda.gov/media/70275/download,286452
