Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Response Letter,Closeout Letter
07/16/2024,07/15/2024,Hippy Mood,Center for Food Safety and Applied Nutrition (CFSAN),Interstate Commerce/Food/Adulterated/Unfair or Deceptive Marketing,,
07/16/2024,05/22/2024,"Art of Beauty Company, Inc.",Division of Pharmaceutical Quality Operations III,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
07/16/2024,06/11/2024,"ARG Laboratories, Inc.","Office of Pharmaceutical Quality Operations, Division II",CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
07/16/2024,07/11/2024,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
07/16/2024,07/15/2024,"Grow God, LLC",Center for Food Safety and Applied Nutrition (CFSAN),Interstate Commerce/Food/Adulterated/Unfair or Deceptive Marketing,,
07/18/2024,07/18/2024,"Jiangsu Caina Medical Co., Ltd",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,
08/12/2024,08/12/2024,Dream Vapor LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/13/2024,06/27/2024,"Baylab USA, LLC","OHT4: Office of Surgical and Infection Control Devices, Office of Product Evaluation and Quality",Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,
08/13/2024,07/15/2024,"Globus Medical, Inc.",Office of Medical Device and Radiological Health Division I,CGMP/QSR/Drug/Medical Devices/Adulterated,,
08/13/2024,08/05/2024,LS Promotions Inc.,Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,,
08/13/2024,05/29/2024,"Konrad Rejdak, M.D., Ph.D.",Center for Biologics Evaluation and Research (CBER),Bioresearch Monitoring Program/IRB  ,,
08/13/2024,07/10/2024,"Central Admixture Pharmacy Services, Inc.",Division of Pharmaceutical Quality Operations IV,Compounding Pharmacy/Adulterated Drug Products,,
08/13/2024,07/11/2024,Nowrez & Ismail Shukri Company,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
08/13/2024,07/31/2024,BullyKamp Products LLC,Center for Veterinary Medicine,Unapproved New Animal Drug Products,,
08/13/2024,07/31/2024,Top Dog Pet Store LLC dba The Bulldog Cartel,Center for Veterinary Medicine,Unapproved New Animal Drug Products,,
09/17/2024,03/21/2024,"St. Louis Calco, LLC",Division of Human and Animal Food Operations West II,Food/Prepared Packed or Held Under Insanitary Conditions/Adulterated,,
09/17/2024,07/17/2024,"TJA Health, LLC",Division of Pharmaceutical Quality Operations III,CGMP/Finished Pharmaceuticals/Adulterated,,
09/17/2024,09/10/2024,Aromas Para El Alma S.A.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug/Misbranded,,
09/17/2024,09/11/2024,"Quality CDMO, Inc.",Center for Drug Evaluation and Research (CDER),Unapproved New Drugs,,
09/16/2024,09/12/2024,Exotic Wholesale LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/12/2023,09/05/2023,"BYD Precision Manufacture Co., Ltd",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated/Misbranded,,
08/27/2024,06/28/2024,"Berkeley Biologics, LLC, previously operating as Elutia, Inc. – Orthobiologics Business Unit, formerly Aziyo Biologics, Inc.",Center for Biologics Evaluation and Research (CBER),"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,
08/27/2024,08/16/2024,"V3Beyond, Inc. d/b/a Beyond Vape",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/27/2024,07/29/2024,1 Stop Chicken Health Shop,Center for Veterinary Medicine,Unapproved New Animal Drug Products,,
08/27/2024,08/16/2024,"Turning Point Brands, Inc. d/b/a VaporFi",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/27/2024,08/16/2024,"Apollo Future Technology, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/27/2024,08/07/2024,J. Moniz Company Inc.,Division of Northeast Imports,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
08/27/2024,07/12/2024,"EyePoint Pharmaceuticals, Inc.",Office of Pharmaceutical Quality Operations Division I,CGMP/Drugs/Adulterated,,
08/27/2024,08/20/2024,"AnuMed International, LLC",Center for Drug Evaluation and Research (CDER),Finished Pharmaceutical/Unapproved New Drug/Adulterated/Misbranded,,
08/27/2024,07/23/2024,"Minland of Texas, Inc.",Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,
08/27/2024,07/26/2024,CARsgen Therapeutics Corporation,Center for Biologics Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,,
09/03/2024,08/22/2024,Parallel Direct LLC d/b/a The Magic Mist,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/03/2024,08/13/2024,Waiakea Bottling Inc.,Division of Human and Animal Food Operations West V,CGMP/Processing & Bottling of Bottled Drinking Water Regulations/Adulterated,,
09/03/2024,08/20/2024,"Mother Stem Institute, Corp.",Center for Biologics Evaluation and Research (CBER),"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,
09/03/2024,08/20/2024,"Julio R. Flamini, M.D./Clinical Integrative Research Center of Atlanta",Center for Drug Evaluation and Research (CDER),Clinical Investigator,,
09/03/2024,08/27/2024,Everymarket Inc.,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs/Misbranded,,
09/03/2024,08/27/2024,SoloVital,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs/Misbranded,,
09/03/2024,08/27/2024,MexHealth LLC d/b/a Al Natural E-Shop,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs/Misbranded,,
09/03/2024,08/19/2024,Kaylaan LLC,Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,,
09/03/2024,08/16/2024,EBCREATE Store,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/03/2024,08/01/2024,Dasada Group LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,
09/06/2024,08/16/2024,"Regenerative Processing Plant, LLC",Center for Biologics Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,,
08/28/2024,08/07/2024,Adventure Innovations LLC,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,
08/28/2024,08/07/2024,"Natures Pillows, Inc. and Top Dog Direct, LLC",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,
08/28/2024,08/07/2024,LEEL Tech,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,
08/28/2024,08/08/2024,Shenzhen Moyeah Intelligent Life Technology Co.,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,
08/30/2024,08/29/2024,Good Karma Cigar LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/10/2024,08/29/2024,Zydus Lifesciences Limited,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
09/10/2024,08/29/2024,Orean Personal Care Ltd.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
09/10/2024,09/05/2024,Master Sales LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/10/2024,08/13/2024,"Optikem International, Inc.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,
09/10/2024,09/03/2024,Avaria Health & Beauty Corp.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
09/10/2024,08/22/2024,California Veterinary Supply,Center for Veterinary Medicine,Unapproved Medically Important Antimicrobials Marketed for Use in Non-food Minor Species,,
09/10/2024,08/30/2024,"Root Bioscience Brands, LLC dba Naternal",Center for Drug Evaluation and Research (CDER),Unapproved New Drugs/Misbranded,,
09/11/2024,09/10/2024,"Mid-Link Testing Company, Ltd",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,
09/24/2024,08/06/2024,"Wittman Pharma, Inc.",Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,,
09/24/2024,08/13/2024,"Restorative Botanicals, LLC",Division of Human and Animal Food Operations West IV,CGMP/Dietary Supplement/Adulterated,,
07/16/2024,06/03/2024,"Dalian Lingfa Food Co., Ltd.",Center for Food Safety and Applied Nutrition (CFSAN),"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,09/27/2024
10/02/2024,09/30/2024,"Consolidated Trading, Inc., d/b/a Blue Ox Vapor",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/01/2024,09/06/2024,"Diamond Chemical Co., Inc.",Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,,
10/01/2024,09/11/2024,"Healthwest Minerals, Inc. dba Mt. Capra Products",Division of Human and Animal Food Operations West VI,Interstate Commerce/Food/Adulterated,,
10/01/2024,09/04/2024,Troya Del Campo USA LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,
10/01/2024,09/11/2024,JJH Trading Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
10/01/2024,09/13/2024,Far East Summit LLC,Division of Human and Animal Food Operations West VI,Unapproved New Drugs/Misbranded,,
10/01/2024,09/12/2024,Pacific Exchange Distributors LLC,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
10/01/2024,09/24/2024,Ice Cream House LLC,Division of Human and Animal Food Operations East I,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated/L. monocytogenes",,
10/01/2024,08/13/2024,"NRS Enterprises, Inc. d/b/a Sunflour Bakery",Division of Human and Animal Food Operations West V,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,
10/01/2024,09/20/2024,Shake Hemp,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/01/2024,09/17/2024,"Little Moon Essentials, LLC",Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,,
10/01/2024,09/26/2024,Makra Kozmetika D.O.O.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
10/01/2024,09/26/2024,"Supercore Products Group, Inc.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,
10/01/2024,09/06/2024,Clean Solutions LLC,Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,,
10/15/2024,09/25/2024,Outin Futures Corp.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated/Misbranded,,
10/15/2024,10/08/2024,Hemarus LLC,Center for Biologics Evaluation and Research (CBER),CGMP/Blood & Blood Components/Adulterated,,
10/15/2024,09/24/2024,"Ya Ya Foods USA, LLC",Division of Human and Animal Food Operations West IV,Low Acid Canned Food Regulation/Adulterated,,
10/15/2024,09/11/2024,"Alfred Louie, Inc.",Division of Human and Animal Food Operations West V,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,
10/15/2024,09/30/2024,"Bacalao Giraldo, S.L.U.",Center for Food Safety and Applied Nutrition,Seafood HACCP/CGMP for Foods/Adulterated,,
10/15/2024,08/30/2024,Procesadora Marina De La Costa Oriental Del Lago C.A.,Center for Food Safety and Applied Nutrition,Seafood HACCP/CGMP for Foods/Adulterated,,
10/08/2024,09/19/2024,Gorilla Vapes LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/08/2024,09/27/2024,Louisiana State University Health Science Center IRB,Center for Drug Evaluation and Research (CDER),Institutional Review Board (IRB),,
10/08/2024,09/24/2024,MMC Healthcare Ltd.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
10/30/2024,10/29/2024,Vapes and Such,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/30/2024,10/29/2024,Nexus Smoke,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/30/2024,10/29/2024,"Green Rush, LLC d/b/a XHALE CITY",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/30/2024,10/29/2024,Packs Pod,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/30/2024,10/29/2024,CSVAPE.COM LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/30/2024,10/29/2024,"eCig Distributors, Inc. d/b/a eJuices.com",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/30/2024,10/29/2024,Morevaping,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/30/2024,10/29/2024,North Disposable,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/30/2024,10/30/2024,"BFL Metal Products Co., LTD",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/30/2024,10/29/2024,Funny Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/29/2024,10/10/2024,Future Best Trading Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
10/29/2024,10/21/2024,"Choice All Natural, Inc. dba Om Botanical",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
10/29/2024,10/23/2024,MedOffice Saglik Endustri Anonim Sirketi,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
10/29/2024,10/01/2024,Paso Real Produce LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,
10/22/2024,10/11/2024,"Blackfly Investments, LLC dba Molecular® Testing Labs",Center for Biologics Evaluation and Research (CBER),Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,
10/22/2024,10/10/2024,Soliteint Kozmetikai KFT,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
10/22/2024,10/01/2024,"Pinnacle Transplant Technologies, LLC",Center for Biologics Evaluation and Research (CBER),"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,
10/22/2024,10/09/2024,"OKC Vapes, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/22/2024,10/02/2024,Omni Lens Pvt. Ltd.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated/Misbranded/Failure to Register,,
10/22/2024,10/17/2024,Diora Kimya Sanayi ve Ticaret Limited Sirketi,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated/Misbranded/Failure to Register,,
10/22/2024,10/01/2024,"Amnio Technology, LLC",Center for Biologics Evaluation and Research (CBER),"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,
10/22/2024,10/09/2024,"Tasty Cloud Vape Co., LLC d/b/a Tasty Cloud Vape Co.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/22/2024,04/02/2024,Stokes Healthcare Inc. dba Epicur Pharma,Division of Pharmaceutical Quality Operations I,Compounding Pharmacy/Adulterated Drug Products,,
10/22/2024,10/09/2024,Central Vapors and Central Vapors LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/08/2024,09/30/2024,Mexicanrxpharm.com,Center for Drug Evaluation and Research (CDER),Notice of Unlawful Sale of Unapproved Drugs to United States Consumers Over the Internet,,
10/08/2024,07/11/2024,"Green Day Produce, Inc.",Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
10/08/2024,06/24/2024,JC Finest Produce Inc,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,
10/09/2024,10/09/2024,"Blaze USA, LLC, d/b/a Blaze Wholesale",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
12/03/2024,08/08/2024,"Mena Food Group, LLC",Office of Regulatory Affairs,"CGMP/Manufacturing, Packing or Holding Human Food/Adulterated/Insanitary Conditions",,
12/03/2024,11/12/2024,"Zhejiang Uniquality Nursing Products Technology Co., Ltd. dba ZheJiang YouQuan Care Products Technology Co., Ltd.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
12/03/2024,11/21/2024,LCC Ltd.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug/Misbranded,,
11/26/2024,11/15/2024,Centura Pharmaceuticals Inc,Center for Drug Evaluation and Research (CDER),Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,
11/26/2024,10/17/2024,Grupo VPAS C.A.,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated,,
11/26/2024,10/25/2024,"Rise N’ Shine Farm, Inc.",Human Foods Program,PHS Act/Shell Egg Regulation/Adulterated,,
