,trial_identifier,cro_involved,withdrawals,enrolled,start_date,completion_date,estimated_completion_date,dropout_rate,country,city,cro_name_standardized
352,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Denmark,Aalborg,Syneos Health
353,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Denmark,Aarhus,Syneos Health
354,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Denmark,Herlev,Syneos Health
355,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Denmark,Odense,Syneos Health
356,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Besancon,Syneos Health
357,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Bordeaux,Syneos Health
358,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Boulogne Billancourt,Syneos Health
359,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Dijon,Syneos Health
360,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,La Tronche,Syneos Health
361,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Lille,Syneos Health
362,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Marseille cedex 05,Syneos Health
363,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Nice,Syneos Health
364,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Pierre Benite,Syneos Health
365,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Rennes Cedex,Syneos Health
366,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Saint Herblain,Syneos Health
367,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Valence,Syneos Health
368,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,France,Villejuif Cedex,Syneos Health
369,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Augsburg,Syneos Health
370,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Berlin,Syneos Health
371,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Bochum,Syneos Health
372,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Erlangen,Syneos Health
373,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Essen,Syneos Health
374,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Frankfurt,Syneos Health
375,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Halle (Saale),Syneos Health
376,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Hamburg,Syneos Health
377,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Heidelberg,Syneos Health
378,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Heilbronn,Syneos Health
379,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Kiel,Syneos Health
380,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Mainz,Syneos Health
381,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Mannheim,Syneos Health
382,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Minden,Syneos Health
383,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Muenchen,Syneos Health
384,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Münster,Syneos Health
385,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Tubingen,Syneos Health
386,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Germany,Wuerzburg,Syneos Health
387,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Hungary,Budapest,Syneos Health
388,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Hungary,Pecs,Syneos Health
389,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Hungary,Szolnok,Syneos Health
390,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Israel,Afula,Syneos Health
391,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Israel,Beer Sheva,Syneos Health
392,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Israel,Jerusalem,Syneos Health
393,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Israel,Petah Tikva,Syneos Health
394,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Israel,Tel Aviv-Yafo,Syneos Health
395,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Israel,Tel Hashomer,Syneos Health
396,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Ancona,Syneos Health
397,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Aviano,Syneos Health
398,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Bari,Syneos Health
399,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Candiolo,Syneos Health
400,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Genova,Syneos Health
401,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Meldola,Syneos Health
402,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Milano,Syneos Health
403,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Napoli,Syneos Health
404,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Padova,Syneos Health
405,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Perugia,Syneos Health
406,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Roma,Syneos Health
407,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Rome,Syneos Health
408,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Italy,Siena,Syneos Health
409,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Netherlands,Amsterdam,Syneos Health
410,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Netherlands,Amsterdam,Syneos Health
411,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Netherlands,Leiden,Syneos Health
412,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Netherlands,Maastricht,Syneos Health
413,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Netherlands,Rotterdam,Syneos Health
414,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Netherlands,Utrecht,Syneos Health
415,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Poland,Warsaw,Syneos Health
416,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Poland,Poznan,Syneos Health
417,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,South Africa,Cape Town,Syneos Health
418,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,South Africa,Pretoria,Syneos Health
419,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Seville,Syneos Health
420,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,A Coruña,Syneos Health
421,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Barcelona,Syneos Health
422,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Barcelona,Syneos Health
423,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Barcelona,Syneos Health
424,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Barcelona,Syneos Health
425,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Madrid,Syneos Health
426,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Madrid,Syneos Health
427,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Madrid,Syneos Health
428,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Madrid,Syneos Health
429,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Malaga,Syneos Health
430,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Oviedo,Syneos Health
431,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Pamplona,Syneos Health
432,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Valencia,Syneos Health
433,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Valencia,Syneos Health
434,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Spain,Zaragoza,Syneos Health
435,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Turkey,Adana,Syneos Health
436,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Turkey,Ankara,Syneos Health
437,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Turkey,Ankara,Syneos Health
438,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Turkey,Antalya,Syneos Health
439,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Turkey,Bornova,Syneos Health
440,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Turkey,Istanbul,Syneos Health
441,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Turkey,Istanbul,Syneos Health
442,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,United Kingdom,London,Syneos Health
443,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,United Kingdom,Manchester,Syneos Health
444,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,United Kingdom,Manchester,Syneos Health
445,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,United Kingdom,Oxford,Syneos Health
452,NCT04121910,Parexel,,16.0,2019-11-07,2020-01-12,,,United States,Glendale,Parexel
453,NCT04036617,Parexel,,58.0,2019-06-18,,2019-12-31,,United Kingdom,London,Parexel
454,NCT05414123,ICON plc,,40.0,2022-09-07,2023-10-13,,,United States,Stanford,ICON plc
455,NCT05414123,ICON plc,,40.0,2022-09-07,2023-10-13,,,United States,Chicago,ICON plc
456,NCT05414123,ICON plc,,40.0,2022-09-07,2023-10-13,,,United States,Dallas,ICON plc
457,NCT05414123,ICON plc,,40.0,2022-09-07,2023-10-13,,,United States,Seattle,ICON plc
458,NCT05452304,Parexel,,112.0,2022-07-12,2024-11-14,,,United Kingdom,Harrow,Parexel
459,NCT06343792,CTI Clinical Trial and Consulting Services,,66.0,2024-08-31,,2025-10-31,,United States,Duarte,CTI Clinical
460,NCT06343792,CTI Clinical Trial and Consulting Services,,66.0,2024-08-31,,2025-10-31,,United States,Los Angeles,CTI Clinical
461,NCT06343792,CTI Clinical Trial and Consulting Services,,66.0,2024-08-31,,2025-10-31,,United States,Atlanta,CTI Clinical
462,NCT06343792,CTI Clinical Trial and Consulting Services,,66.0,2024-08-31,,2025-10-31,,United States,Saint Louis,CTI Clinical
463,NCT06343792,CTI Clinical Trial and Consulting Services,,66.0,2024-08-31,,2025-10-31,,United States,Columbus,CTI Clinical
464,NCT06343792,CTI Clinical Trial and Consulting Services,,66.0,2024-08-31,,2025-10-31,,Spain,Sevilla,CTI Clinical
469,NCT05224531,Worldwide Clinical Trials,,25.0,2022-05-05,2024-08-01,,,Sweden,Gothenburg,Worldwide Clinical Trials
531,NCT04531579,Clinipace Worldwide,,0.0,2022-01-31,,2023-06-30,,United States,Baltimore,Clinipace
532,NCT04531579,Clinipace Worldwide,,0.0,2022-01-31,,2023-06-30,,United States,Seattle,Clinipace
533,NCT05428696,Celerion,,90.0,2022-09-12,2023-04-24,,,United Kingdom,Belfast,Celerion
535,NCT04876924,Celerion,,92.0,2021-04-29,2022-02-27,,,United States,Tempe,Celerion
536,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Scottsdale,Ergomed
537,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Hollywood,Ergomed
538,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Atlanta,Ergomed
539,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Troy,Ergomed
540,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Warren,Ergomed
541,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Wildwood,Ergomed
542,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Huntersville,Ergomed
543,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Spartanburg,Ergomed
544,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Thompson's Station,Ergomed
545,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Pflugerville,Ergomed
546,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Sugar Land,Ergomed
547,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,United States,Spokane,Ergomed
548,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Germany,Berlin,Ergomed
549,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Germany,Berlin,Ergomed
550,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Germany,Düsseldorf,Ergomed
551,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Germany,Freiburg,Ergomed
552,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Germany,Hamburg,Ergomed
553,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Germany,Mainz,Ergomed
554,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Poland,Katowice,Ergomed
555,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Poland,Katowice,Ergomed
556,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Poland,Krakow,Ergomed
557,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Poland,Kraków,Ergomed
558,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Poland,Kraków,Ergomed
559,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Poland,Lublin,Ergomed
560,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Poland,Warszawa,Ergomed
561,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Poland,Warszawa,Ergomed
562,NCT05914805,Ergomed PLC,,726.0,2023-08-17,,2024-08-31,,Poland,Łódź,Ergomed
563,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Birmingham,Parexel
564,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Los Angeles,Parexel
565,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Orange,Parexel
566,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Santa Monica,Parexel
567,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Atlanta,Parexel
568,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Austell,Parexel
569,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Evanston,Parexel
570,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Maywood,Parexel
571,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Baltimore,Parexel
572,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Towson,Parexel
573,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Ann Arbor,Parexel
574,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Detroit,Parexel
575,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Saint Louis,Parexel
576,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Bronx,Parexel
577,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Jamaica,Parexel
578,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,New York,Parexel
579,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Stony Brook,Parexel
580,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Durham,Parexel
581,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Cleveland,Parexel
582,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Cleveland,Parexel
583,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Philadelphia,Parexel
584,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Houston,Parexel
585,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,San Antonio,Parexel
586,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Charlottesville,Parexel
587,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,United States,Norfolk,Parexel
588,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,Finland,Turku,Parexel
589,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,Netherlands,Nijmegen,Parexel
590,NCT04186845,Parexel,13.0,391.0,2020-05-04,2021-04-28,,0.0332480818414322,Netherlands,Veldhoven,Parexel
591,NCT03854409,PRA Health Sciences,,72.0,2019-01-31,2019-04-05,,,United States,Little Rock,ICON plc
592,NCT03854409,PRA Health Sciences,,72.0,2019-01-31,2019-04-05,,,United States,Garden Grove,ICON plc
593,NCT03854409,PRA Health Sciences,,72.0,2019-01-31,2019-04-05,,,United States,Berlin,ICON plc
594,NCT03854409,PRA Health Sciences,,72.0,2019-01-31,2019-04-05,,,United States,Austin,ICON plc
595,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Birmingham,Parexel
596,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Chula Vista,Parexel
597,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Fresno,Parexel
598,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Lancaster,Parexel
599,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Los Angeles,Parexel
600,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Montebello,Parexel
601,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Orange,Parexel
602,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,San Diego,Parexel
603,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Tustin,Parexel
604,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Doral,Parexel
605,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Jensen Beach,Parexel
606,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Miami,Parexel
607,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Decatur,Parexel
608,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Northbrook,Parexel
609,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Owings Mills,Parexel
610,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Boston,Parexel
611,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Royal Oak,Parexel
612,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Winston-Salem,Parexel
613,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Edinburg,Parexel
614,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Galveston,Parexel
615,NCT05488340,Parexel,,318.0,2022-07-13,,2025-06-30,,United States,Richmond,Parexel
618,NCT04094363,ICON plc,,50.0,2019-10-03,2019-11-26,,,United States,Knoxville,ICON plc
619,NCT04094363,ICON plc,,50.0,2019-10-03,2019-11-26,,,United States,San Antonio,ICON plc
660,NCT04207957,Covance,,24.0,2019-12-05,2020-09-15,,,United Kingdom,Leeds,Fortrea
678,NCT06041646,"Lotus Clinical Research, LLC",,23.0,2023-10-12,2024-04-29,,,United States,Little Rock,Lotus Clinical Research
679,NCT06041646,"Lotus Clinical Research, LLC",,23.0,2023-10-12,2024-04-29,,,United States,Rogers,Lotus Clinical Research
680,NCT04944771,Parexel,,48.0,2021-07-26,2022-05-04,,,Germany,Berlin,Parexel
681,NCT04881461,Syneos Health,56.0,445.0,2021-05-10,2023-09-26,,0.1258426966292135,Czechia,Brno,Syneos Health
682,NCT04881461,Syneos Health,56.0,445.0,2021-05-10,2023-09-26,,0.1258426966292135,Czechia,Jablonec Nad Nisou,Syneos Health
683,NCT04881461,Syneos Health,56.0,445.0,2021-05-10,2023-09-26,,0.1258426966292135,Czechia,Jihlava,Syneos Health
684,NCT04881461,Syneos Health,56.0,445.0,2021-05-10,2023-09-26,,0.1258426966292135,Czechia,Liberec,Syneos Health
685,NCT04881461,Syneos Health,56.0,445.0,2021-05-10,2023-09-26,,0.1258426966292135,Czechia,Litomyšl,Syneos Health
686,NCT04881461,Syneos Health,56.0,445.0,2021-05-10,2023-09-26,,0.1258426966292135,Czechia,Pardubice,Syneos Health
687,NCT04881461,Syneos Health,56.0,445.0,2021-05-10,2023-09-26,,0.1258426966292135,Czechia,Trutnov,Syneos Health
