fei_number,cro_name_standardized,inspection_id,date_of_inspection,type_of_issue,classification,act/cfr_number,short_description,publish_date,form_483_flag,warning_letter_flag,download,source,record_id,specialization,notable_client,trial_identifier,withdrawals,enrolled,start_date,completion_date,estimated_completion_date,dropout_rate,country,city
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Spain,Valencia
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,United Kingdom,Leeds
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,United Kingdom,London
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT00810004,,245.0,2009-02-28,2010-10-31,,,Russian Federation,Moscow
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,Belgium,Gent
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,Netherlands,Nijmegen
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,Poland,Gdańsk
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,Poland,Kraków
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,Poland,Lublin
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Bath
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Cambridge
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Dundee
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Leeds
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Liverpool
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,United Kingdom,London
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT04744207,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Manchester
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Birmingham
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Tuscaloosa
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Tucson
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Hot Springs
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Covina
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Fullerton
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,La Mesa
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Los Angeles
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Menifee
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Roseville
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Sacramento
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Van Nuys
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Whittier
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Lewes
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Aventura
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Fort Lauderdale
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Gainesville
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Vero Beach
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Coeur d'Alene
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Maywood
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Lexington
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Baltimore
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Battle Creek
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Detroit
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Lansing
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Eagan
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Rochester
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Saint Louis Park
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Omaha
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Reno
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Teaneck
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Voorhees
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Albuquerque
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Albany
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Brooklyn
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Orchard Park
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Plainview
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Syracuse
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Cincinnati
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Oklahoma City
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Bethlehem
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Duncansville
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Wyomissing
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Charleston
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Myrtle Beach
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Orangeburg
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Jackson
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Knoxville
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Austin
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Corpus Christi
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Dallas
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Dallas
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Dallas
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Houston
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Houston
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,San Antonio
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Sugar Land
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Victoria
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Arlington
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Spokane
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Clarksburg
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,United States,Glendale
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,Australia,Camperdown
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,Australia,Kogarah
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,Australia,Maroochydore
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,Australia,Hobart
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,Australia,Clayton
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,Australia,Fitzroy
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT01500278,,915.0,2011-12-31,2015-11-30,,,Australia,Malvern
